utt,spk,asr,cond,cer,hyp
p00_u07,p00,xlsr-korean,ce0,0.1067,앞으로 시는 이천 이십 삼 년 하반기 중 하 차택의 의무제를 도입해 버스에 제차 인원 정보를 파악해 탑승 인원을 실시간 수십팔 계획이다
p00_u07,p00,xlsr-korean,ce10,0.1867,앞으로 히는 이편 이십 삼 년 하반기 중 한타태의 의무기를 도입해 버스에 대차인원 정보를 파악해 합승인원을 실시간 수입판 계획이다
p00_u07,p00,whisper-small,taps,0.1733,앞으로 씨는 2023년 하반기 중 4차 태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다.
p00_u07,p00,whisper-small,ce10,0.1333,앞으로 씨는 2023년 하반기 중 하차태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다
p00_u07,p00,whisper-small,taps_notch,0.1733,앞으로 씨는 2023년 하반기 중 4차 태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다.
p00_u07,p00,whisper-small,ce10_notch,0.1333,앞으로 시는 2023년 하반기 중 하차테그 의무제를 도입해 버스 내 재차 인원 정보를 파악해 합승 인원을 실시간 수집할 계획이다
p00_u07,p00,whisper-small,taps_lpf4k,0.1733,앞으로 씨는 2023년 하반기 중 4차 태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다.
p00_u07,p00,whisper-small,ce10_lpf4k,0.1467,앞으로 신은 2023년 하반기 중 하차테그 의무제를 도입해 버스 내 재차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다
p00_u07,p00,whisper-small,hyb_tapsLow_ceHigh,0.2000,앞으로 씨는 2023년 하반기 중 4차 팩의 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다.
p00_u07,p00,whisper-small,hyb_ceLow_tapsHigh,0.1733,앞으로 T는 2023년 하반기 중 4차 태그 의무제를 도입해 버스 내 제차 인원 정보를 파악해 탑승 인원을 실시간 수집할 계획이다.
p00_u08,p00,mms-1b-all,no_se,0.3455,일를 통에 뻗은의 혼잡도 정보를 뻗스 정부 안력의 스마훈 드을 통에 위용시는들에게 제공할 계획이다
p00_u08,p00,mms-1b-all,taps,0.1818,이를 통해 버스의 혼잡도 정보를 버스 정보 안내기 쯤마혼등을 통해 이용시민들에게 대공할 계획이다
p00_u08,p00,mms-1b-all,enc5,0.2000,이를 통해 버스의 혼잡도 정보를 버스 정보 안내이 스마혼등을 통해 이용시민드에게 대공할 계획이다
p00_u08,p00,mms-1b-all,ce0,0.2000,일를 통에 버스의 혼잡도 정보를 버스 정보 안내후 쯤마혼 등을 통해 이용시민들에게 제공할 계획이다
p00_u08,p00,mms-1b-all,ce10,0.2545,일를 통해 버스의 혼잡더 정보를 버스 정보 안내귀 트마포등을 통해 위용시민드에게 제공할 계획이다
p00_u08,p00,xlsr-korean,no_se,0.4364,이를 통해 버 답별 병모을 버트 변부 알려주 마폰 변을 통해 우형 생민들에게 병경할 계획이다
p00_u08,p00,xlsr-korean,taps,0.1273,이를 통해 버스는 혼자도 정보를 버스 정부 안내기 스마트폰 등을 통해 이용 시민들에게 대공할 계획이다
p00_u08,p00,xlsr-korean,enc5,0.1273,이를 통해 버스는 혼잡도 정보를 버스 정부 안내이 스마트폰 등을 통해 이용 시민들에게 대공할 계획이다
p00_u08,p00,xlsr-korean,ce0,0.1273,이를 통해 버스는 혼자도 정보를 버스 정부 안내 기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다
p00_u08,p00,xlsr-korean,ce10,0.1636,이를 통해 버스의 혼자뼈 정보를 버스 정부 안내이 스마트폰 등을 통해 이용 시민들에게 대공할 계획이다
p00_u08,p00,whisper-small,taps,0.1091,"이를 통해 버스 내 혼잡도 정보를, 버스 정보 안내기, 스마트폰 등을 통해 이용 시민들에게 개공할 계획이다."
p00_u08,p00,whisper-small,ce10,0.0364,이를 통해 버스 내 혼잡도 정보를 버스 정보 안내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다
p00_u08,p00,whisper-small,taps_notch,0.1455,"이를 통해 버스의 혼잡도 정보를, 버스 정보 안내기, 스마트폰 등을 통해 이용 시민들에게 개공할 계획이다."
p00_u08,p00,whisper-small,ce10_notch,0.0364,이를 통해 버스 내 혼잡도 정보를 버스 정보 안내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다
p00_u08,p00,whisper-small,taps_lpf4k,0.0909,"이를 통해 버스 내 혼잡도 정보를, 버스 정보 안내기, 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다."
p00_u08,p00,whisper-small,ce10_lpf4k,0.0364,이를 통해 버스 내 혼잡도 정보를 버스 정보 안내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다
p00_u08,p00,whisper-small,hyb_tapsLow_ceHigh,0.1273,"이를 통해 버스의 혼잡도 정보를 버스 정보 안 내기, 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다."
p00_u08,p00,whisper-small,hyb_ceLow_tapsHigh,0.0364,이를 통해 버스 내 혼잡도 정보를 버스 정보 안내기 스마트폰 등을 통해 이용 시민들에게 제공할 계획이다
p00_u09,p00,mms-1b-all,no_se,0.4182,원주이는 식k우 호조면 3열리 실봉체 구원에서 섬갈 자장남무 습 둘레길 계통식을 계체했다
p00_u09,p00,mms-1b-all,taps,0.4000,원주시는 19일5 호조면 3년이 7봉회육 공원에서 섬강 자장남무습 둘레길 계통식을 계체했다
p00_u09,p00,mms-1b-all,enc5,0.4000,원주시는 19일5 호조면 3년이 7봉케육 공원에서 섬강 자장남무수 둘레길 계통식을 계체했다
p00_u09,p00,mms-1b-all,ce0,0.4000,원주시는 19일5 호조면 3년이 7봉폐육 공원에서 섬강 자장남무수 둘레길 계통식을 계체했다
p00_u09,p00,mms-1b-all,ce10,0.4545,원주지는 19일5 호조면 3년리및 7봉폐우 공원에서 섬강 가장남무습 둘렉길 계통식을 계체했다
p00_u09,p00,xlsr-korean,no_se,0.5636,원급핑는 특글 오 호두면 한열리 일본 교 공원에서 평가 가장 나무 급 블랙질 배풍 급여발포했다
p00_u09,p00,xlsr-korean,taps,0.3636,원주지는 십 구 일 오후 호조면 사 년이 칠북 케우공원에서 성강 자장 남나문숙 레키 교통책을 개최했다
p00_u09,p00,xlsr-korean,enc5,0.3091,원주지는 십 구 일 오후 호조면 사 년리 칠본 케우공원에서 성강 사장 나수 레키 개통식을 개최했다
p00_u09,p00,xlsr-korean,ce0,0.3455,원주지는 십 구 일 오후 호조면 사 년이 칠북 케우공원에서 서강 사장 나마수 레키 고통식을 개최했다
p00_u09,p00,xlsr-korean,ce10,0.3818,원주진는 십 구 일 오후 호조면 한년 출본 페육공원에서 서강 가장 나선습 래겐 고통식을 제쇄했다
p00_u09,p00,whisper-small,taps,0.2909,원주시는 19일 오후 호조면 4년이 칠봉쾌유공원에서 섬강자장나무습 둘레길 개통식을 개최했다.
p00_u09,p00,whisper-small,ce10,0.2909,원주진은 19일 오후 호조면 산열리 칠봉태유공원에서 섬강 가장 나무습 둘레길 개통식을 개최했다
p00_u09,p00,whisper-small,taps_notch,0.3455,원주시는 19일 오후호조면 4년이 칠봉쾌유공원에서 섬강자장나무숲둘레길개통직을 개최했다.
p00_u09,p00,whisper-small,ce10_notch,0.2727,원주진은 19일 오후 호조면 산열리 칠봉태유공원에서 섬강 과장나무습 둘레길 개통식을 개최했다
p00_u09,p00,whisper-small,taps_lpf4k,0.3273,원주시는 19일 오후 호조면 4년이 칠봉쾌유공원에서 섬강자장나무숩둘레길개통식을 개최했다.
p00_u09,p00,whisper-small,ce10_lpf4k,0.3091,원주진은 19일 오후 호조면 산열리 실봉태유공원에서 섬강 가장 나무습 둘레길 개통식을 개최했다
p00_u09,p00,whisper-small,hyb_tapsLow_ceHigh,0.3818,원주진은 19일 오후 호조면 4년이 칠봉쾌유공원에서 섬강자장나무숩둘렛길개통식을 개최했다.
p00_u09,p00,whisper-small,hyb_ceLow_tapsHigh,0.3091,원주 씨는 19일 오후 호조면 4년이 칠봉쾌유공원에서 섬강 자장나무숩 둘레길 개통식을 개최했다.
p00_u10,p00,mms-1b-all,no_se,0.3659,인날 계통된 사점5k로m터 기모의 둘렉길은 더척결과 희의 군관을 비롯에 수령 30년 리상의 자장나무가 굴락을 리르고 있는 술등을 받추고 있다
p00_u10,p00,mms-1b-all,taps,0.3415,인할 계통된 사정5k로m터 길모의 둘레길은 대크결과 쉽의 공관을 비롯에 수령30년 이상의 자장나무과 굴락을 이르고 있는 수등을 갖추고 있다
p00_u10,p00,mms-1b-all,enc5,0.3537,이날 계통된 사정5k로m터 길모의 줄레길은 대크결과 시의 군관을 비롯에 수량 30년 이상의 자장나물과 굴락을 이르고 있는 수등을 갖추고 있다
p00_u10,p00,mms-1b-all,ce0,0.3171,위할 계통된 사정5k로m터 준모의 둘레길은 대크결과 쉽의 공관을 비롯에 수령30년 이상의 자장나무가 굴락을 이르고 있는 수 등을 갖추고 있다
p00_u10,p00,mms-1b-all,ce10,0.3415,인할 계통된 사점5km터 규모의 줄레길은 대끗결과 휴의 공관을 비롯에 수령30년 이상의 자장나무가 굴락을 리루고 있는 추등을 가추고 있다
p00_u10,p00,xlsr-korean,no_se,0.4756,이날 개평된 화법 우로림평 규모에 블랙교는 백대 결과 특계 공간을 비롯해  삼십 년 이상 다장 란가 온라을 의료 있는 특 병역 바겨 있다
p00_u10,p00,xlsr-korean,taps,0.2317,이날 계통된 사쩜 오 키로미터 규모의 둘래길은 대크결과 휴계 공간을 비롯해 수영 삼십 년 이상의 자장 나문과 분란을 이우고 있는 숙등을 가추고 있다
p00_u10,p00,xlsr-korean,enc5,0.2073,이날 계통된 사 쩜 오 키로미터 규모의 둘레길은 대크결과 식계 공간을 비롯해 수량 삼십 년 이상의 자장 나문과 분랑을 이우고 있는 수 등을 가추고 있다
p00_u10,p00,xlsr-korean,ce0,0.1951,이날 계통된 사쩜 오 키로미터 규모의 둘레길은 백크결과 수계공간을 비롯해 수영 삼십 년 이상의 자장 나무가 분람을 이우고 있는 웃등을 가추고 있다
p00_u10,p00,xlsr-korean,ce10,0.2805,이날 대통된 사쩜 오 키로민터 규모의 블에길은 택대별과 흉일 공간을 비롯해 수영 삼십 년 이상 사장 나문가 군란을 이우고 있는 습등을 가추고 있다
p00_u10,p00,whisper-small,taps,0.2439,이날 개통된 4.5km 규모의 둘레길은 태크길과 슈게 공간을 비롯해 수령 30년 이상의 자작나무과 굴랑을 이루고 있는 숲 등을 갖추고 있다.
p00_u10,p00,whisper-small,ce10,0.2317,이날 개통된 4.5km 규모의 둘레길은 백극길과 휴게 공간을 비롯해 수령 30년 이상의 자장나무가 굴랑을 이루고 있는 숲 등을 갖추고 있다
p00_u10,p00,whisper-small,taps_notch,0.2317,이날 개통된 4.5km 규모의 둘레길은 태크길과 슈게 공간을 비롯해 수령 30년 이상의 자작나무가 굴랑을 이루고 있는 숲 등을 갖추고 있다.
p00_u10,p00,whisper-small,ce10_notch,0.2195,이날 개통된 4.5km 규모의 둘레길은 대쿡길과 휴게 공간을 비롯해 수령 30년 이상의 자장나무가 굴락을 이루고 있는 숲 등을 갖추고 있다
p00_u10,p00,whisper-small,taps_lpf4k,0.2317,이날 개통된 4.5km 규모의 둘레길은 배크길과 슈게 공간을 비롯해 수령 30년 이상의 자작나무과 군랑을 이루고 있는 숲 등을 갖추고 있다.
p00_u10,p00,whisper-small,ce10_lpf4k,0.2683,이날 개통된 4.5km 규모의 둘레길은 백극길과 수길 공간을 비롯해 수령 30년 이상의 자장나무가 굴랑을 이루고 있는 숲 등을 갖추고 있다.
p00_u10,p00,whisper-small,hyb_tapsLow_ceHigh,0.2317,이날 개통된 4.5km 규모의 둘레길은 배크길과 휴게 공간을 비롯해 수령 30년 이상의 자장나무가 굴랑을 이루고 있는 숲 등을 갖추고 있다.
p00_u10,p00,whisper-small,hyb_ceLow_tapsHigh,0.2683,이날 개통된 4.5km 규모의 둘레길은 태극길과 식의 공간을 비롯해 수령 30년 이상의 자장나무가 굴랑을 이루고 있는 숲 등을 갖추고 있다.
p00_u11,p00,mms-1b-all,no_se,0.3091,실봉 체육 교원에서 출발에 성강을 따아 거는 택격길에는 들판과 장히 여으러진 풍강을 망직할 수 있다
p00_u11,p00,mms-1b-all,taps,0.2545,7봉 체육 교원에서 출발에 성강을 따라 거는 택끗 길에는 들판과 강히 어으러진 풍광을 망기할 수 있다
p00_u11,p00,mms-1b-all,enc5,0.2182,7봉 체육 경원에서 출발에 성강을 따라 거는 택끗길에는 들판과 강이 어으러진 풍광을 망기할 수 있다
p00_u11,p00,mms-1b-all,ce0,0.2364,7봉 체육 경원에서 출발에 성강을 따라 거는 택끗길에는 들판과 강히 어으러진 풍광을 망기할 수 있다
p00_u11,p00,mms-1b-all,ce10,0.2727,7봉 태육 경원에서 출발에 성강을 따라 거는 택끗 길에는 들판과 강히 어으러진 풍광을 망격할 수 있다
p00_u11,p00,xlsr-korean,no_se,0.4182,일본 태극병원에서 출발해 찬가를 따아 받는 태법길에는 급파와 당이 어울러진 풍가을 만기도 있다
p00_u11,p00,xlsr-korean,taps,0.2727,일본체육교원에서 출발해 성당을 따라 걷는 태극기에는 급판과 강이 어울려진 품강을 만끽할 수 있다
p00_u11,p00,xlsr-korean,enc5,0.2545,일본 체육교원에서 출발해 성장을 따라 걷는 태극기에는 급판과 강이 어울려진 품풍강을 만끽할 수 있다
p00_u11,p00,xlsr-korean,ce0,0.2182,일본 체육병원에서 출발해 성당을 따라 걷는 태극길에는 급판과 강이 어울려진 풍강을 만끽할 수 있다
p00_u11,p00,xlsr-korean,ce10,0.2545,일본 태육병원에서 출반해 현강을 따라 받는 태극길에는 불판과 강이 오울러진 풍강을 만끽할 수 있다
p00_u11,p00,whisper-small,taps,0.1818,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 망기할 수 있다.
p00_u11,p00,whisper-small,ce10,0.1455,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만족할 수 있다
p00_u11,p00,whisper-small,taps_notch,0.1818,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 망기할 수 있다.
p00_u11,p00,whisper-small,ce10_notch,0.1636,칠봉태육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만족할 수 있다
p00_u11,p00,whisper-small,taps_lpf4k,0.1636,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만기할 수 있다.
p00_u11,p00,whisper-small,ce10_lpf4k,0.1636,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만족할 수 있다.
p00_u11,p00,whisper-small,hyb_tapsLow_ceHigh,0.1636,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만기할 수 있다.
p00_u11,p00,whisper-small,hyb_ceLow_tapsHigh,0.1636,칠봉체육경원에서 출발해 성강을 따라 걷는 태극길에는 들판과 강이 어우러진 풍강을 만족할 수 있다.
p00_u12,p00,mms-1b-all,no_se,0.3571,이어 잔남무 습을 지하면 보디어 음빛자태를 뿐내을 자장남의 굴락기 나타난다
p00_u12,p00,mms-1b-all,taps,0.3571,이어 잔남무 수을 지하면 코디어 음픽 자태를 뿐내는 자장남무 굴라기 나타한다
p00_u12,p00,mms-1b-all,enc5,0.4286,이어 잔남은 스을 지하면 고디어 음빛차태를 뿐내는 자장남을 굴라기 나타한다
p00_u12,p00,mms-1b-all,ce0,0.3571,이어 잔남무 스을 지하면 코디어 음픽 자태를 뿐내는 자장남무 굴라기 나타한다
p00_u12,p00,mms-1b-all,ce10,0.3571,이어 잔남무 스을 지하면 고디어 음핍자태를 뿐내는 자장남무 굴락기 나타한다
p00_u12,p00,xlsr-korean,no_se,0.4762,이어 단란을 숲을진나면 고기와 연빛 단태를 꾸 내는 바장한은 곤란이 나해한다
p00_u12,p00,xlsr-korean,taps,0.2857,이어 간남은 숲을 지나면 고기어 음빛 자태를 뿐내는 자장남은 곤란이 나타난다
p00_u12,p00,xlsr-korean,enc5,0.3333,이어 단남은 숲을 지나면 고기역 음빛 자태를 뿐내는 자장 남은 골란이 나타난다
p00_u12,p00,xlsr-korean,ce0,0.3333,이어 단남을 숲을 지나면 고기역 음픽 자태를 뿐내는 자장남은 곤란이 나타난다
p00_u12,p00,xlsr-korean,ce10,0.3810,이어 단나머 숲풀 빛나면 고디역 음핏 사태를 뿐내는 가장남무 곤란이 나타난다
p00_u12,p00,whisper-small,taps,0.2143,이어 잔나무 숲을 지나면 곧 이어 은비차태를 뿐내는 자장나무 굴락이 나타난다.
p00_u12,p00,whisper-small,ce10,0.2143,이어 잔나무 수풀 지나면 곧 이어 은비 차태를 뿐내는 자장나무 굴락이 나타난다
p00_u12,p00,whisper-small,taps_notch,0.2143,이어 잔나무 숲을 지나면 곧 이어 은비차태를 뿐내는 자장나무 굴락이 나타난다.
p00_u12,p00,whisper-small,ce10_notch,0.2857,이어 잔나무 수풀 지나면 고지여 은비차태를 뿐내는 자장나무 굴락이 나타난다
p00_u12,p00,whisper-small,taps_lpf4k,0.2143,이어 잔나무 숲을 지나면 곧 이어 은비차태를 뿐내는 자장나무 굴락이 나타난다.
p00_u12,p00,whisper-small,ce10_lpf4k,0.2857,이어 잔나무 수풀 지나면 고지여 은비차태를 뿐내는 자장나무 굴락이 나타난다
p00_u12,p00,whisper-small,hyb_tapsLow_ceHigh,0.2143,이어 잔나무 숲을 지나면 곧 이어 은비차태를 뿐내는 자장나무 굴락이 나타난다.
p00_u12,p00,whisper-small,hyb_ceLow_tapsHigh,0.2857,이어 잔나무 수풀 지나면 고지여 은비차태를 뿐내는 자장나무 굴락이 나타난다
p00_u13,p00,mms-1b-all,no_se,0.2424,원주시는 관각력들에게 세로운 불거리를 제공하기 위해 성강 자장남무수 불렉길에 자양한 주재의 수을 크가 조성하기로 있다
p00_u13,p00,mms-1b-all,taps,0.2273,원주시는 관강격들에게 세로운 불거리를 계공하기 위해 성광 가장남무습 둘레끼에 다양한 주재의 수을 추가 조성하기로 했다
p00_u13,p00,mms-1b-all,enc5,0.2273,원주시는 광강격들에게 세로운 불거리를 제공하기 위해 청강 가장남무습 둘렉끼에 다양한 주재의 수을 추가 조성하기로 했다
p00_u13,p00,mms-1b-all,ce0,0.2273,원주시는 광광격들에게 세로운 불거리를 세공하기 위해 성광 다장남무습 둘레끼에 다양한 주재의 수을 추가 조성하기로 했다
p00_u13,p00,mms-1b-all,ce10,0.1970,원주시는 광광격들에게 세로운 불거리를 제공하기 위해 성강 다장남으습 둘레길에 다양한 주재의 수을 추가 조성하기로 했다
p00_u13,p00,xlsr-korean,no_se,0.4242,원주태는 관광역 등한게 새로운 골건리를 배공하기 위해 한당 바응나속 볼랙끈에 다양 한 대  프가 교환을하기로 했다
p00_u13,p00,xlsr-korean,taps,0.2273,원주시는 건강객들에게 새로운 홀거리를 대공하기 위해 성강 가장 나무습 돌레끼에 다양한 주제 쇼을 추가 조사하기로 했다
p00_u13,p00,xlsr-korean,enc5,0.1970,원주시는 관광벽들에게 새로운 불거리를 제공하기 위해 성강 가장 나습 돌레끼에 다양한 주제 스을 추가 조성하기로 했다
p00_u13,p00,xlsr-korean,ce0,0.1818,원주진는 관광객들에게 새로운 볼거리를 제공하기 위해 성강 가장 나습 돌레기에 다양한 주제 스을 추가 조성하기로 했다
p00_u13,p00,xlsr-korean,ce10,0.2273,원주지는 관광 객들에게 새로운 골거리를 대공하기 위해 한강 가장 나무습 블렉글에 다양한 주제 스을 추가 조성하기로 했다
p00_u13,p00,whisper-small,taps,0.1061,원주시는 관광객들에게 새로운 볼거리를 대공하기 위해 성강 가장 나무 숲 둘레길의 다양한 주제의 숲을 추가 조성하기로 했다.
p00_u13,p00,whisper-small,ce10,0.1061,원주 씨는 관광객들에게 새로운 볼거리를 제공하기 위해 성강 가장 나무 숲 둘레길의 다양한 주제의 숲을 추가 조성하기로 했다
p00_u13,p00,whisper-small,taps_notch,0.1212,"원주시는 관광객들에게 새로운 볼거리를 대공하기 위해 성강, 가장나무 숲, 둘레길의 다양한 주제의 숲을 추가 조성하기로 했다."
p00_u13,p00,whisper-small,ce10_notch,0.1061,원주 씨는 관광객들에게 새로운 볼거리를 제공하기 위해 성광 가장나무 숲 둘레길의 다양한 주제의 숲을 추가 조성하기로 했다
p00_u13,p00,whisper-small,taps_lpf4k,0.1212,"원주시는 관광객들에게 새로운 볼거리를 대공하기 위해 성강, 가장나무 숲, 둘레길의 다양한 주제의 숲을 추가 조성하기로 했다."
p00_u13,p00,whisper-small,ce10_lpf4k,0.1212,"원주 씨는 관광객들에게 새로운 볼거리를 제공하기 위해 성강, 자장나무 숲, 둘레길의 다양한 주제의 숲을 추가 조성하기로 했다."
p00_u13,p00,whisper-small,hyb_tapsLow_ceHigh,0.1061,"원주시는 관광객들에게 새로운 볼거리를 제공하기 위해 성강, 가장나무 숲, 둘레길의 다양한 주제의 숲을 추가 조성하기로 했다."
p00_u13,p00,whisper-small,hyb_ceLow_tapsHigh,0.1667,"원주 씨는 관광객들에게 새로운 볼거리를 대공하기 위해 성강, 다장나무숲, 둘레길의 다양한 주제의 숲을 추가 조성하기로 했다."
p00_u14,p00,mms-1b-all,no_se,0.3333,원창막 원주시장을 취악산 둘레교 속금산 글랜드 벨리 등과 멸개한 관간 쿠루그움을 의냥하는 반함도 검투하고 있다 또 말했다
p00_u14,p00,mms-1b-all,taps,0.2727,원창막 원주 시장은 피학산 둘렉길 속금 산 그렌드 벨리 등과 영기한 광광 프로그움을 우영하는 방함도 옮토하고 있다고 말했다
p00_u14,p00,mms-1b-all,enc5,0.2273,원창묶 원주시장은 티학산 둘렉길 소금산 그렌드 벨리 등과 영기한 광강 프로그램을 우영하는 방함도 옮토하고 있다고 말했다
p00_u14,p00,mms-1b-all,ce0,0.2121,원창국 원주 시장은 취학산 둘렉길 소금산 그랜드 벨리 등과 영기한 광광 프로그램을 우영하는 방함도 옮토하고 있다고 말했다
p00_u14,p00,mms-1b-all,ce10,0.2576,원창북 원주 시장은 취학산 둘렉길 속금산 그랜드벨리 등과 영기한 광강 프로그램을 우영하는 방함도 옮투하고 있다 고 말했다
p00_u14,p00,xlsr-korean,no_se,0.4242,머다 원주팀자를 희양빵 블랙큐 콘탄 그랜드벨리인이터과 명기 발가 코로그램을 은영하는 방안도 검풍하고 있다고 말했다
p00_u14,p00,xlsr-korean,taps,0.1667,원착문 원주시장은 피약산 둘랙길 소금산 그랜드베리등과 연기양 관광 크로그램을 운영하는 방안도 검토하고 있다고 말했다
p00_u14,p00,xlsr-korean,enc5,0.1667,원창문 원주시장은 기약산 둘랙길 소금산 그랜드베리등과 여기 관광 크로그램을 운영하는 방안도 검토하고 있다고 말했다
p00_u14,p00,xlsr-korean,ce0,0.1818,원창문 원주시장은 취약산 둘랙킷 서금산 그랜드베리등과 여기 관광 프로그램을 운영하는 방안도 검토하고 있다고 말했다
p00_u14,p00,xlsr-korean,ce10,0.2576,원상국 원주수장은 피양산 분랙딜 로금산 그랜드베리 룬과 영기 관광 프로그램을 운영하는 방안도 검토하고 있다 부 말했다
p00_u14,p00,whisper-small,taps,0.1667,"원창목 원주시장은 키약산 둘렛길, 소금산 그랜드벨리 등과 연계한 관광 프로그램을 운영하는 방안도 검토하고 있다, 꼭 말했다."
p00_u14,p00,whisper-small,ce10,0.1364,"원창목 원주시장은 취약산 둘레길, 소금산 그랜드벨리 등과 연계한 관광 프로그램을 운영하는 방안도 검토하고 있다, 또 말했다"
p00_u14,p00,whisper-small,taps_notch,0.1667,"원창목 원주시장은 키약산 둘렛길, 소금산 그랜드벨리 등과 연계한 관광 프로그램을 운영하는 방안도 검토하고 있다, 꼭 말했다."
p00_u14,p00,whisper-small,ce10_notch,0.1818,"원창목 원주시장은 취약산 둘렛길, 소금산 그랜디벨리 등과 연계한 관광 프로그램을 운영하는 방안도 검토하고 있다, 그 말했다."
p00_u14,p00,whisper-small,taps_lpf4k,0.1515,"원창목 원주시장은 치약산 둘레길, 소금산 그랜드벨리 등과 연기한 관광 프로그램을 운영하는 방안도 검토하고 있다, 꼭 말했다."
p00_u14,p00,whisper-small,ce10_lpf4k,0.1667,"원창목 원주시장은 취약산 둘레길, 소금산 그랜디베리 등과 연계한 관광 프로그램을 운영하는 방안도 검토하고 있다, 또 말했다."
p00_u14,p00,whisper-small,hyb_tapsLow_ceHigh,0.1667,"원창무 원주시장은 치약산 둘렛길, 소금산 그랜드벨리 등과 연기한 관광 프로그램을 운영하는 방안도 검토하고 있다, 꼭 말했다."
p00_u14,p00,whisper-small,hyb_ceLow_tapsHigh,0.1515,"원창목 원주시장은 희학산 둘레길, 소금산 그랜드벨리 등과 연계한 관광 프로그램을 운영하는 방안도 검토하고 있다. 그 말했다."
p00_u15,p00,mms-1b-all,no_se,0.4462,앞서 원주시는 지난의 오월 백39점 2k로m터의 달라는 취학산 들렉길 연랑객곳을 전구간을 계통했다
p00_u15,p00,mms-1b-all,taps,0.4615,앞서 원주시는 지난의 오월 백39자 미k로m터의 달라는 찍학산 둘렉길 연랑기코을 정구관을 대통했다
p00_u15,p00,mms-1b-all,enc5,0.4615,앞서 원주지는 지난의 오월 139점2k로m터의 달라는 찍학산 둘렉길 연랑기코스 정구간을 계통했다
p00_u15,p00,mms-1b-all,ce0,0.4923,앞서 원주지는 지난의 오월 139자미k로m터의 달라는 지학산 둘렉길 연랑기코을 정구간을 계통했다
p00_u15,p00,mms-1b-all,ce10,0.4769,앞서 원주시는 지난의 오월 139자미k로m터의 달라는 치학산 둘렉길 연랑기코을 정구관을 계통했다
p00_u15,p00,xlsr-korean,no_se,0.4154,아각 원주팀는 지난해 오 월 백 삼 십 롯단 미킬로니터에 달하는 해약단 블레계 연하경꽃 을 당 구간을 발평했다
p00_u15,p00,xlsr-korean,taps,0.1846,앞서 원주진은 지난해 오 월 백 삼십 구 쩜 미키로미터에 달하는 취약산 블레의 열 한 기코스 전 구간을 개통했다
p00_u15,p00,xlsr-korean,enc5,0.2000,앞서 원주진은 지난해 오 월 백 삼십 구 쩜 미키로미터에 달하는 시약산 블레끼 열 한 개코스 전구간을 계통했다
p00_u15,p00,xlsr-korean,ce0,0.1846,앞서 원주진은 지난해 오 월 백 삼십 구 쩜 미키로미터에 달하는 시약산 블레의 열 한 기코스 전 구간을 개통했다
p00_u15,p00,xlsr-korean,ce10,0.2154,앞서 원주진는 지난해 오 월 백 삼께 구 쩜 미킬로미터에 달하는 시약산 분렉길 열 한 개코스 전구간을 발통했다
p00_u15,p00,whisper-small,taps,0.3385,앞서 원주시는 지난해 5월 139자 미킬로미터에 달하는 지약산 둘렛길 11개 코스 전 구간을 개통했다.
p00_u15,p00,whisper-small,ce10,0.3231,앞서 원주 씨는 지난해 5월 139자 미키로미터에 달하는 치약산 둘넥길 11개 코스 전 구간을 개통했다
p00_u15,p00,whisper-small,taps_notch,0.3846,앞서 원주시는 지난해 5월 139자 2km에 달하는 지약산 둘렛길 11개 코스 전 구간을 개통했다.
p00_u15,p00,whisper-small,ce10_notch,0.3077,앞서 원주시는 지난해 5월 139자 미크로미터에 달하는 지약산 둘레길 11개 코스 전 구간을 개통했다
p00_u15,p00,whisper-small,taps_lpf4k,0.4000,앞서 원주시는 지난해 5월 139.2km에 달하는 지압산 둘렛길 11개 코스 전 구간을 개통했다.
p00_u15,p00,whisper-small,ce10_lpf4k,0.4154,앞서 원주 씨는 지난해 5월 139자 2km에 달하는 시약산 둘넥길 11개 코스 전 구간을 개통했다.
